t,vs_fpm,vcas_kts,alt_ft,nz,alpha_deg,pstick,throttle
5.9,3226.35,209.851,5926.68,1.20421,7.07544,0,0.458093
5.91667,3226.33,209.843,5927.58,1.20419,7.07586,0,0.458093
5.93333,3226.31,209.836,5928.48,1.20418,7.07628,0,0.458093
5.95,3226.29,209.828,5929.37,1.20417,7.0767,0,0.458093
5.96667,3226.27,209.821,5930.27,1.20415,7.07713,0,0.458093
5.98333,3226.25,209.813,5931.16,1.20414,7.07755,0,0.458093
6,3226.23,209.806,5932.06,1.20413,7.07797,0,0.458093
6.01667,3226.21,209.798,5932.96,1.20411,7.0784,0,0.458093
6.03333,3226.19,209.79,5933.85,1.2041,7.07882,0,0.458093
6.05,3226.17,209.783,5934.75,1.20409,7.07924,0,0.458093
6.06667,3226.15,209.775,5935.64,1.20407,7.07966,0,0.458093
6.08333,3226.13,209.768,5936.54,1.20406,7.08009,0,0.458093
6.1,3226.11,209.76,5937.44,1.20404,7.08051,0,0.458093
6.11667,3226.09,209.753,5938.33,1.20403,7.08094,0,0.458093
6.13333,3226.07,209.745,5939.23,1.20402,7.08136,0,0.458093
6.15,3226.05,209.738,5940.13,1.204,7.08178,0,0.458093
6.16667,3226.03,209.73,5941.02,1.20399,7.08221,0,0.458093
6.18333,3226.01,209.723,5941.92,1.20398,7.08263,0,0.458093
6.2,3225.99,209.715,5942.81,1.20396,7.08306,0,0.458093
6.21667,3225.97,209.707,5943.71,1.20395,7.08348,0,0.458093
6.23333,3225.95,209.7,5944.61,1.20394,7.0839,0,0.458093
6.25,3225.93,209.692,5945.5,1.20392,7.08433,0,0.458093
6.26667,3225.91,209.685,5946.4,1.20391,7.08475,0,0.458093
6.28333,3225.89,209.677,5947.29,1.2039,7.08518,0,0.458093
6.3,3225.87,209.67,5948.19,1.20388,7.0856,0,0.458093
6.31667,3225.85,209.662,5949.09,1.20387,7.08603,0,0.458093
6.33333,3225.83,209.654,5949.98,1.20386,7.08645,0,0.458093
6.35,3225.81,209.647,5950.88,1.20384,7.08688,0,0.458093
6.36667,3225.78,209.639,5951.77,1.20383,7.0873,0,0.458093
6.38333,3225.76,209.632,5952.67,1.20382,7.08773,0,0.458093
6.4,3225.74,209.624,5953.57,1.2038,7.08816,0,0.458093
6.41667,3225.72,209.617,5954.46,1.20379,7.08858,0,0.458093
